,eq_odds,zero_one_loss,disp_imp,acc,f1
0,0.0,0.09999999999999998,0.16558441558441558,0.9672131147540983,0.9673619283235138
1,0.2823529411764706,0.11111111111111116,0.7026143790849674,0.9508196721311475,0.950734418598222
2,0.23076923076923073,0.17142857142857137,0.8716475095785441,0.9344262295081968,0.9344702532810341
3,0.0,0.022727272727272818,0.9836601307189543,0.9262295081967213,0.9261388661725908
4,0.1893939393939394,0.15007012622720906,0.4878048780487805,0.8688524590163934,0.868885595595478
5,0.23809523809523814,0.14610389610389607,0.898989898989899,0.9016393442622951,0.900307998012916
6,0.0,0.1842105263157895,0.9824561403508771,0.9016393442622951,0.904044984506152
7,0.13333333333333341,0.09999999999999998,0.6211764705882353,0.9426229508196722,0.943552843513075
8,0.5,0.06190476190476191,0.4264705882352941,0.9421487603305785,0.9437095481877339
9,0.3222222222222222,0.11764705882352944,0.675,0.9504132231404959,0.9510177293021408
